ID;Kategorie;Teaser;Text;Link;Linktitel;Methoden;Methodenlink;Profil;Strommix;Empfehlung
X;;Empfohlen von ROBIN WOOD;Der Anbieter wurde von ROBIN WOOD eingehend geprüft. Er erfüllt alle ROBIN WOOD-Ökostromkriterien. Detailierte Informationen sind im Anbieterprofil zu finden.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Eine genaue Überprüfung des Anbieters sowie der Erzeugungsanlagen, von denen der Anbieter 2018 Strom bezogen hat, wurde Ende 2019 mittels Fragebogen durchgeführt. Die Rechercheergebnisse beruhen in erster Linie auf den Informationen des Anbieters.;;True;;yes
R;;Nicht ausführlich geprüft;Der Anbieter ist ein regionaler Ökostromanbieter, der laut Stromkennzeichnung zu 100 Prozent Ökostrom bezieht (Stand: Ende 2019). Regionale Ökostromanbieter konnten von ROBIN WOOD allerdings nicht eingehend geprüft werden, da es von ihnen zu wenig Rückmeldungen gab.##Inzwischen gibt es einige regionale Anbieter mit sehr guten Ökostromangeboten. Um euch ein eigenes Bild machen zu können, informiert euch am besten direkt bei dem Anbieter. Interessante Fragen sind z.B.: Gibt es wirtschaftliche Verflechtungen mit anderen Unternehmen? Woher wird der Strom bezogen? Gibt es Lieferverträge mit Erzeugeranlagen oder wird Strom über die Strombörse bezogen? Wird Strom aus eigenen Anlagen eingespeist? Investiert der Anbieter in den Ausbau der Energiewende?;; ;Die Recherche-Ergebnisse beruhen ausschließlich auf den, über die Website des Anbieters verfügbaren Informationen. Eine genauere Überprüfung des Anbieters hat nicht stattgefunden.;;False;;maybe
RC;;Nicht ausführlich geprüft;Der Anbieter ist ein regionaler Ökostromanbieter, der laut Stromkennzeichnung zu 100 Prozent Ökostrom bezieht (Stand: Ende 2019). Regionale Ökostromanbieter konnten von ROBIN WOOD allerdings nicht eingehend geprüft werden, da es von ihnen zu wenig Rückmeldungen gab.##Inzwischen gibt es einige regionale Anbieter mit sehr guten Ökostromangeboten. Um euch ein eigenes Bild machen zu können, informiert euch am besten direkt bei dem Anbieter. Interessante Fragen sind z.B.: Gibt es wirtschaftliche Verflechtungen mit anderen Unternehmen? Woher wird der Strom bezogen? Gibt es Lieferverträge mit Erzeugeranlagen oder wird Strom über die Strombörse bezogen? Wird Strom aus eigenen Anlagen eingespeist? Investiert der Anbieter in den Ausbau der Energiewende?;; ;Die Recherche-Ergebnisse beruhen ausschließlich auf den, über die Website des Anbieters verfügbaren Informationen. Eine genauere Überprüfung des Anbieters hat nicht stattgefunden.;;False;;maybe
XX;;Keine Bewertung über die ROBIN WOOD-Kriterien;Der Anbieter bezieht seinen Strom zu 100% von regenerativen Energieanlagen. Er ist jedoch kein klassischer Stromanbieter. Über das Unternehmen kann Ökostrom bezogen werden, dabei werden neue Konzepte erprobt (z.B. Direktvermarktung, Online-Marktplatz für Stromproduzent*innen, stärkere Abstimmung von Stromverbrauch und Ökostromangebot).;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Die Recherche-Ergebnisse beruhen ausschließlich auf den über die Website des Anbieters verfügbaren Informationen (Stand: Ende 2019) sowie auf Ende 2019 durchgeführten telefonischen und/oder schriftlichen Abfragen.;;False;;maybe
Z;;Keine Bewertung über die ROBIN WOOD-Kriterien;;;;Die Recherche-Ergebnisse beruhen ausschließlich auf den, über die Website des Anbieters verfügbaren Informationen. Eine genauere Überprüfung des Anbieters hat nicht stattgefunden (Stand: Ende 2019).;;False;;maybe
A;;Keine Empfehlung von ROBIN WOOD;Der Anbieter handelt unter Anderem mit Strom aus Kohle- und Atomenergie (Stand: Ende 2019).;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Die Kriterien wurden nacheinander geprüft (1 bis 4). Angegeben ist nur das erste nicht erfüllte Kriterium. Die Recherche-Ergebnisse beruhen ausschließlich auf den, über die Website des Anbieters verfügbaren Informationen. Eine genauere Überprüfung des Anbieters hat nicht stattgefunden.;;False;True;no
B;;Keine Empfehlung von ROBIN WOOD;Der Anbieter ist mit einem Konzern, der Atom- oder Kohlekraftwerke betreibt oder mit Strom aus diesen Quellen handelt verflochten (Stand: Ende 2019).;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Die Kriterien wurden nacheinander geprüft (1 bis 4). Angegeben ist nur das erste nicht erfüllte Kriterium. Die Recherche-Ergebnisse beruhen ausschließlich auf den, über die Website des Anbieters verfügbaren Informationen. Eine genauere Überprüfung des Anbieters hat nicht stattgefunden.;;False;False;no
C;;Keine Empfehlung von ROBIN WOOD;Der Anbieter leistet keinen zusätzlichen Beitrag zur Förderung der Energiewende (Stand: Ende 2019). Unter „Förderung“ wird der Bezug von Strom aus Neuanlagen und/oder die Einrichtung fester Investitionsprogramme (mind. 0,5ct/kWh) verstanden.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Die Kriterien wurden nacheinander geprüft (1 bis 4). Angegeben ist nur das erste nicht erfüllte Kriterium. Die Recherche-Ergebnisse beruhen ausschließlich auf den, über die Website des Anbieters verfügbaren Informationen. Eine genauere Überprüfung des Anbieters hat nicht stattgefunden.;;False;False;no
D;;Keine Empfehlung von ROBIN WOOD;Der Anbieter bezieht Strom von Anlagen, deren Besitzer und/oder Eigentümer auch Kohle- und Atomkraftwerke betreiben und/oder in solche Anlagen investieren (Stand: Ende 2019). Anlagen-Besitzer und/oder -Eigentümer dürfen zu max. 25% Kohle- oder Atomkonzernen gehören.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Die Kriterien wurden nacheinander geprüft (1 bis 4). Angegeben ist nur das erste nicht erfüllte Kriterium. Die Recherche-Ergebnisse beruhen ausschließlich auf den, über die Website des Anbieters verfügbaren Informationen. Eine genauere Überprüfung des Anbieters hat nicht stattgefunden.;;False;False;no
baywa;;Keine Empfehlung von ROBIN WOOD;Der Anbieter wurde von ROBIN WOOD eingehend geprüft. Er erfüllt folgende ROBIN WOOD-Ökostromkriterien nicht:;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Eine genaue Überprüfung des Anbieters sowie der Erzeugungsanlagen, von denen der Anbieter 2018 Strom bezogen hat, wurde Ende 2019 mittels Fragebogen durchgeführt. Die Rechercheergebnisse beruhen in erster Linie auf den Informationen des Anbieters.;;False;False;no
enspire;;Eingeschränkte Empfehlung von ROBIN WOOD;Enspire Grüner Strom ist ein Tarif der Stadtwerke Konstanz mit dem sie seit 2012 auch überregional Ökostrom anbieten. Während das überregionale Angebot ‚Enspire‘ den ROBIN WOOD Kriterien vollständig entspricht, trifft dies für die 5 regional verfügbaren Stromangebote der Stadtwerke Konstanz z.B. im Grundversorgungstarif ÖkostromBasis nur eingeschränkt zu. Deshalb haben wir uns entschlossen Enspire als einzigen Anbieter eingeschränkt zu empfehlen. Im Einzelnen bedeutet dies:;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Eine genaue Überprüfung des Anbieters sowie der Erzeugungsanlagen, von denen der Anbieter 2018 Strom bezogen hat, wurde Ende 2019 mittels Fragebogen durchgeführt. Die Rechercheergebnisse beruhen in erster Linie auf den Informationen des Anbieters.;;False;False;maybe
lichtblick;;Keine Empfehlung von ROBIN WOOD;Der Anbieter wurde von ROBIN WOOD eingehend geprüft. Er erfüllt folgende ROBIN WOOD-Ökostromkriterien nicht:;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Eine genaue Überprüfung des Anbieters sowie der Erzeugungsanlagen, von denen der Anbieter 2018 Strom bezogen hat, wurde Ende 2019 mittels Fragebogen durchgeführt. Die Rechercheergebnisse beruhen in erster Linie auf den Informationen des Anbieters.;;False;False;no
prokon;;Keine Empfehlung von ROBIN WOOD;Der Anbieter wurde von ROBIN WOOD eingehend geprüft. Er erfüllt folgende ROBIN WOOD-Ökostromkriterien nicht:;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Eine genaue Überprüfung des Anbieters sowie der Erzeugungsanlagen, von denen der Anbieter 2018 Strom bezogen hat, wurde Ende 2019 mittels Fragebogen durchgeführt. Die Rechercheergebnisse beruhen in erster Linie auf den Informationen des Anbieters.;;False;False;no
proengeno;;Nicht ausführlich geprüft;Der Anbieter ist ein überregionaler Ökostromanbieter, der auf Basis einer Online-Recherche den ROBIN WOOD-Kriterien enstprechen könnte (Stand: Ende 2019). Der Anbieter konnte von ROBIN WOOD allerdings nicht eingehend geprüft werden, da er nicht auf Anfragen reagiert hat.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Die Kriterien wurden nacheinander geprüft (1 bis 4). Angegeben ist nur das erste nicht erfüllte Kriterium.##Die Recherche-Ergebnisse beruhen ausschließlich auf den, über die Website des Anbieters verfügbaren Informationen. Eine genauere Überprüfung des Anbieters hat nicht stattgefunden.;False;False;maybe
fairtradepower;;Keine Empfehlung von ROBIN WOOD;Der Anbieter wurde von ROBIN WOOD eingehend geprüft. Er erfüllt folgende ROBIN WOOD-Ökostromkriterien nicht:;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;Eine genaue Überprüfung des Anbieters sowie der Erzeugungsanlagen, von denen der Anbieter 2018 Strom bezogen hat, wurde Ende 2019 mittels Fragebogen durchgeführt. Die Rechercheergebnisse beruhen in erster Linie auf den Informationen des Anbieters.;;False;False;no
